seq_no,Line_Description,contract_number
41794,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
41795,"LEAD, TENDRILL STS 52",PP-CA-449
41796,"LEAD, QUARTET QUADRIPOLAR 1458Q/86",PP-CA-449
41797,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
43027,"SHEATH, CPS DIRECT UPSIZED X-WIDE 47CM",PP-CA-449
50306,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
50319,"SHEATH, CPS DIRECT UPSIZED WIDE 47CM",PP-CA-449
50320,"LEAD, TENDRIL MRI 52CM",PP-CA-449
50321,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
50322,"LEAD, QUARTET QUADRIPOLAR 1458Q/86",PP-CA-449
50323,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
55610,"GENERATOR, ELLIPSE NEXT GEN ICD DR 36",PP-CA-449
55611,"SHEATH, CPS DIRECT UPSIZED WIDE 47CM",PP-CA-449
55612,"LEAD, TENDRIL MRI 52CM",PP-CA-449
55613,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK",PP-CA-449
55614,"LEAD, QUARTET QUADRIPOLAR 1458Q/86",PP-CA-449
55615,"GENERATOR, GALLANT HF BI-VENTRICULAR ICD CRT-D",PP-CA-449
55616,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
55617,"LEAD, TENDRIL MRI 52CM",PP-CA-449
55618,"LEAD, TENDRILL STS 58",PP-CA-449
55619,"GENERATOR, GALLANT DR ICD",PP-CA-449
55620,"LEAD, TENDRIL MRI 52CM",PP-CA-449
55621,"LEAD, DURATA ICD DF-4 ACTIVE TBP SINGLE SHOCK 7120Q/65",PP-CA-449
55622,"GENERATOR, ASSURITY MRI PACER DR RF",PP-CA-449
55623,"LEAD, TENDRIL MRI 52CM",PP-CA-449
55624,"LEAD, TENDRILL STS 58",PP-CA-449
59722,"LEAD, TENDRILL STS 52",PP-CA-449
