seq_no,Line_Description,contract_number
23811,"VIAL IMMUNOLOGY CAL SET ELECSYS COBAS E",PP-LA-524
23812,"REAGENT DILUENT UNIVERSAL COBAS 2X40ML",PP-LA-524
23813,"REAGENT SYSWASH ELECSYS 500ML",PP-LA-524
23814,"CLEANER INSTRUMENT ELECSYS 5X100ML",PP-LA-524
23815,"DILUENT CHEMISTRY UNIVERSAL 2 ELECSYS 2X36ML",PP-LA-524
26099,"CONTROL CHEMISTRY PRECI VARIA 6X3ML",PP-LA-524
33383,"REAGENT CHEMISTRY 100 TEST FOLATE III ELECSYS",PP-LA-524
33408,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
33409,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
33461,"REAGENT FT3 GEN3 TESTPACK 200 TEST ELECSYS COBAS E",PP-LA-524
33462,"REAGENT CHEMISTRY 100 TEST HCG+BETA 11 ELECSYS COBAS",PP-LA-524
33463,"REAGENT PSA GEN 2.1 TESTPACK 100 TEST ELECSYS",PP-LA-524
33464,"CALIBRATOR CHEMISTRY CEA CALSET 4ML",PP-LA-524
33465,"CALIBRATOR CHEMISTRY FT4 II CALSET 4ML",PP-LA-524
34622,"CONTROL CHEMISTRY PRECI TROPONIN T ELECSYS 4X2ML",PP-LA-524
34625,"CONTROL CHEMISTRY CLEAN CELL M ELECSYS COBAS E 2X2LT",PP-LA-524
34626,"CONTROL CHEMISTRY PRO-CELL M (2X2L) ELECSYS COBAS E 2X2LT",PP-LA-524
34627,"ASSAY IMMUNOLOGY CUPS/TIPS COMBIMAGAZIN M ELECSYS",PP-LA-524
34628,"CONTROL CHEMISTRY PRE CLEAN M ELECSYS 600ML",PP-LA-524
43780,"TIP PIPET ASSAY PREPARATION ELECSYS",PP-LA-524
43781,"CUP ANALYZER ELECSYS 60X60 REACTION",PP-LA-524
43783,"REAGENT SYSWASH ELECSYS 500ML",PP-LA-524
43784,"DILUENT CHEMISTRY UNIVERSAL 2 ELECSYS 2X36ML",PP-LA-524
43785,"CALIBRATOR CHEMISTRY CORTISOL II CALSET",PP-LA-524
43786,"CALIBRATOR HCG STAT ELECSYS V3 CALSET 1ML",PP-LA-524
43787,"CALIBRATOR CHEMISTRY TSH CALSET 4X1.3ML",PP-LA-524
43788,"CALIBRATOR CHEMISTRY FT4 II CALSET 4ML",PP-LA-524
45542,"TIP PIPET ASSAY PREPARATION ELECSYS",PP-LA-524
46654,"TIP PIPET ASSAY PREPARATION ELECSYS",PP-LA-524
46655,"CUP ANALYZER ELECSYS 60X60 REACTION",PP-LA-524
46665,"REAGENT PROCELL 380ML ELECSYS 1140",PP-LA-524
46666,"SOLUTION CLEANING 380ML 1140 TEST",PP-LA-524
53766,"CLEANER ECOTERGENT COBAS 502 59ML",PP-LA-524
53767,"VIAL IMMUNOLOGY CAL SET ELECSYS COBAS E",PP-LA-524
55309,"VIAL IMMUNOLOGY CAL SET ELECSYS COBAS E",PP-LA-524
55319,"CONTROL CHEMISTRY PROBE WASH M ELECSYS 70ML",PP-LA-524
56423,"REAGENT CHEMISTRY 100 TEST FOLATE III ELECSYS",PP-LA-524
59487,"REAGENT SYSWASH ELECSYS 500ML",PP-LA-524
