id,mpn_raw,mpn_normalized,description_text,manufacturer_raw,source_field,source_system,contract_no
3101,4151/52,415152,"KIT STYLET LEAD MOND 52CM 3D WIDE PRIMARY CURVED RIGHT VENTRICULAR SS MRI-CONDITIONAL NON-RADIOLUCENT","ABBOTT LABORATORIES INC.",Product_Description,PO_PREMIER,PP-CA-449
3102,4151/58,415158,"KIT STYLET LEAD MOND 58CM 3D WIDE PRIMARY CURVED RIGHT VENTRICULAR SS MRI-CONDITIONAL NON-RADIOLUCENT","ABBOTT LABORATORIES INC.",Product_Description,PO_PREMIER,PP-CA-449
3102,4151/58,415158,"STYLET, MOND RVOT 58","ST. JUDE MEDICAL/PACESETTER",Facility_Product_Description,PO_PREMIER,PP-CA-449
3103,4151/65,415165,"STYLET, MOND RVOT 65","ST. JUDE MEDICAL/PACESETTER",Facility_Product_Description,PO_PREMIER,PP-CA-449
3103,4151/65,415165,"KIT STYLET LEAD MOND 65CM 3D WIDE PRIMARY CURVED RIGHT VENTRICULAR SS MRI-CONDITIONAL NON-RADIOLUCENT","ABBOTT LABORATORIES INC.",Product_Description,PO_PREMIER,PP-CA-449
3115,42-12,4212,"DISINFECTANT SPRAY PROTEX",NULL,Facility_Product_Description,PO_PREMIER,PP-NS-1680
3115,42-12,4212,"DISINFECTANT MULTI-SURFACE PROTEX 12X12OZ SPRAY BOTTLE GERMICIDAL VIRUCIDAL ALCOHOL-FREE BLEACH-FREE 12/BX","PARKER LABORATORIES",Product_Description,PO_PREMIER,PP-NS-1680
3126,42532,42532,"PAPER TBL EXAM WHT GRAHAM 21INX225FT","GRAHAM MEDICAL",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3126,42532,42532,"PAPER, EXAM TABLE 21IN SMOOTH","GRAHAM MEDICAL PRODUCTS",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3126,42532,42532,"PAPER EXAM TABLE APEX ECONOMY STANDARD ROLL 21IN X 225FT WHITE SMOOTH LIGHTWEIGHT CREPE 12RL/CA","LITTLE RAPIDS HOLDING CORPORATION DBA GRAHAM MEDICAL",Product_Description,PO_PREMIER,PP-NS-1680
3286,4481798190,4481798190,"REAGENT IMMUN ANALYZER COBAS E ELECSYS AFP F/E411/E601/E602 100TEST/EA","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
3286,4481798190,4481798190,"TESTPACK, AFP (100)","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
3286,4481798190,4481798190,"REAGENT CHEMISTRY 100 TEST AFP ELECSYS","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
3287,4487761190,4487761190,"CALIBRATOR CHEMISTRY AFP II CALSET 4ML","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
3287,4487761190,4487761190,"CALIBRATOR CHEMISTRY COBAS ELECSYS A-FETOPROTEIN 2","ROCHE DIAGNOSTICS CORPORATION",Product_Description,PO_PREMIER,PP-LA-524
3326,45552,45552,"TAPE ORTHOPAEDIC SOFT ADHESIVE STRETCH POLYESTER L","PERFORMANCE HEALTH INC",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3326,45552,45552,"BANDAGE COMPRESSION TAPE STRETCH COVER ROLL SOFT S","BSN MEDICAL INC",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3326,45552,45552,"COVERROLL, STRETCH 2X10 YD","PERFORMANCE HEALTH SUPPLY, INC.",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3326,45552,45552,"TAPE, COVER ROLL STRETCH","BSN MEDICAL, INC.",Facility_Product_Description,PO_PREMIER,PP-NS-1680
3326,45552,45552,"DRESSING COMPRESSION COVER-ROLL ADHESIVE ROLL 2IN X 10YD ELASTIC FIXATION STRETCH CONFORMABLE NON-WOVEN HYPOALLERGENIC WATERPROOF WHITE POLYESTER POLYACRYLATE LATEX-FREE RADIOLUCENT NON-STERILE 12/CA","BSN MEDICAL, INC.",Product_Description,PO_PREMIER,PP-NS-1680
3348,4660307190,4660307190,"REAGENT CHEMISTRY ELECSYS","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
3348,4660307190,4660307190,"TESPACK, TROPONIN STAT GEN 4 (100T)","ROCHE DIAGNOSTICS",Facility_Product_Description,PO_PREMIER,PP-LA-524
