seq_no,Line_Description,contract_number
11675,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
11676,"HANDLE, GIA UNIVERSAL SHORT 12MM",PP-OR-1487
11677,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
11678,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
11679,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM EXTRA/THCK",PP-OR-1487
11683,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
11684,"RELOAD, DST SERIES GIA 60MM - 3.8MM LOADING UNIT",PP-OR-1487
11685,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
12005,"RELOAD, ENDO GIA ROT VASCULAR MED TAN 45MM",PP-OR-1487
12913,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
12974,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
12975,"ENDO STITCH, DISP 10MM",PP-OR-1487
13935,"STAPLER, EEA XL 28MM W/ 4.8MM STAPLE",PP-OR-1487
13989,"APPLIER, ENDOCLIP 10MM",PP-OR-1487
13990,"RELOAD, DST SERIES GIA 100MM - 3.8MM LOADING UNIT",PP-OR-1487
13991,"RELOAD, ENDO GIA 45MM TRISTAPLE ARTICULATING MED TAN",PP-OR-1487
14003,"RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM",PP-OR-1487
14004,"RELOAD, ARTICULATE ENDO GIA TRISTAPLE MED/THICK RE",PP-OR-1487
14006,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
14007,"POUCH, SPECIMEN ENDOCATCH II 15MM",PP-OR-1487
15042,"ADAPTER, SIGNIA POWER LINEAR XL",PP-OR-1487
15045,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
15046,"STAPLER, TA 90-3.5",PP-OR-1487
15115,"TROCAR, ENDO CLOSE",PP-OR-1487
15118,"SCISSOR, ENDO SHEARS 5MM",PP-OR-1487
15119,"TROCAR, ENDO CLOSE",PP-OR-1487
15120,"RELOAD, SIGNIA TRI-STAPLE 2.0 30 MM CURVED TIP ARTICULATING VASCULAR/MEDIUM",PP-OR-1487
15121,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM EXTRA/THCK",PP-OR-1487
16285,"STAPLER, EEA XL 25MM W/ 4.8MM STAPLE",PP-OR-1487
16362,"RELOAD, ENDO GIA ROT VASCULAR MED TAN 45MM",PP-OR-1487
16363,"RELOAD, ARTICULATE ENDO GIA TRISTAPLE EXTRA/THICK",PP-OR-1487
17515,"STAPLER, SHELL SIGNIA POWER CONTROL",PP-OR-1487
17517,"APPLIER, SURGICLIP 11.5IN MED",PP-OR-1487
17518,"STAPLER, GIA 80MM - 3.8MM",PP-OR-1487
17519,"APPLIER, SURGICLIP III 9.0IN SMALL",PP-OR-1487
17520,"APPLIER, SURGICLIP MED 9.75",PP-OR-1487
17856,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
17857,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
17858,"RELOAD, GIA 80MM - 3.8MM",PP-OR-1487
17859,"CLIP, LAPROCLIP LIGATING CARTRIDGE ABSORB 12MM",PP-OR-1487
17860,"DEVICE, ORVIL EEA DTS SERIES 25MM",PP-OR-1487
17863,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
17864,"HANDLE, GIA UNIVERSAL SHORT 12MM",PP-OR-1487
17865,"RELOAD, ENDO GIA 45MM CURVE TIP ART MED/THCK PURPL",PP-OR-1487
17871,"RELOAD, GIA 80MM - 3.8MM",PP-OR-1487
19569,"RELOAD, ARTICULATE ENDO GIA TRISTAPLE MED/THICK RE",PP-OR-1487
19570,"STAPLER, SHELL SIGNIA POWER CONTROL",PP-OR-1487
19571,"ADAPTER, SIGNIA POWER LINEAR XL",PP-OR-1487
19639,"RELOAD, ENDO GIA ROT VASCULAR MED TAN 45MM",PP-OR-1487
21000,"STAPLER, EEA XL 33MM W/ 4.8MM STAPLE",PP-OR-1487
21001,"STAPLER, EEA XL 25MM W/ 4.8MM STAPLE",PP-OR-1487
21108,"RELOAD, SIGNIA VASCULAR SM DIA CURVED TIP 30MM",PP-OR-1487
23976,"SCISSORS SURGICAL LISTER ANGLED BLUNT/BLUNT SMOOTH STAINLESS STEEL LATEX FREE DI",PP-OR-1487
24510,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
24511,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
24512,"RELOAD, ENDO GIA 45MM TRISTAPLE ARTICULATING MED TAN",PP-OR-1487
24513,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
24514,"RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM",PP-OR-1487
24539,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
24540,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
24541,"SCISSOR, ENDO SHEARS 5MM",PP-OR-1487
24542,"PURSTRING, DISP. 65 INST.",PP-OR-1487
24543,"TROCAR, ENDO CLOSE",PP-OR-1487
24544,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
24545,"RELOAD, ENDO GIA 45MM TRISTAPLE ARTICULATING MED TAN",PP-OR-1487
24546,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM MED/THCK",PP-OR-1487
24547,"RELOAD, ENDO GIA ARTICULATE TRI-STAPLE 60MM EXTRA/THCK",PP-OR-1487
25631,"STAPLER, SHELL SIGNIA POWER CONTROL",PP-OR-1487
27885,"APPLIER, ENDO CLIP III 5MM",PP-OR-1487
27886,"BAG, SPECIMEN RETRIEVAL 10MM",PP-OR-1487
27887,"TROCAR, ENDO CLOSE",PP-OR-1487
27888,"PURSTRING, DISP. 65 INST.",PP-OR-1487
27916,"HANDLE, ENDO GIA 12MM UNIVERSAL",PP-OR-1487
